altitude(km),altitude(m),ch4(ppmv),co(ppmv),co2(ppmv),humidity(%),n2o(ppmv),o2(ppmv),o3(ppmv),pressure(hPa),temperature(K)
0.018000000000000002,18.0,0,0,0,0,0,209000.0,0.00907170762660548,1013.6279367375804,273.5678046712548
0.06,60.0,0,0,0,0,0,209000.0,0.008964022184980215,1008.3193651391472,273.1132568845158
0.1,100.0,0,0,0,0,0,209000.0,0.008861464621527584,1003.2824241084047,272.7015078207496
0.15,150.0,0,0,0,0,0,209000.0,0.008733267667211794,997.0118465491164,272.25250445697867
0.2,200.0,0,0,0,0,0,209000.0,0.008605070712896002,990.7696234920164,271.94974815393
0.25,250.0,0,0,0,0,0,209000.0,0.008476873758580212,984.5636044874047,271.6941153499881
0.3,300.0,0,0,0,0,0,209000.0,0.008348676804264422,978.388441738972,271.37121487322304
0.35000000000000003,350.0,0,0,0,0,0,209000.0,0.00822047984994863,972.2437420638953,271.012897516162
0.36,360.0,0,0,0,0,0,209000.0,0.008194840459085473,971.0173302845624,270.9353163426516
0.37,370.0,0,0,0,0,0,209000.0,0.00822682824133692,969.791072448844,270.86077695572936
0.38,380.0,0,0,0,0,0,209000.0,0.009985044721741394,968.5712776844805,270.8790999005809
0.39,390.0,0,0,0,0,0,209000.0,0.011743261202145869,967.352111908958,270.9025375026024
0.4,400.0,0,0,0,0,0,209000.0,0.013501477682550346,966.1329461334358,270.92597510462383
0.45,450.0,0,0,0,0,0,209000.0,0.022292560084572713,960.0777290800543,272.2788949575745
0.5,500.0,0,0,0,0,0,209000.0,0.03108364248659508,954.103461075188,274.9948182683521
0.52,520.0,0,0,0,0,0,209000.0,0.03460007544740403,951.743638643958,276.26009515532957
0.5700000000000001,570.0,0,0,0,0,0,209000.0,0.04339115784942641,945.8977238922023,278.40574383457147
0.62,620.0,0,0,0,0,0,209000.0,0.04527226407891208,940.1116126536348,279.42576092211584
0.72,720.0,0,0,0,0,0,209000.0,0.047655006056652675,928.6923079069417,279.49257987885613
0.78,780.0,0,0,0,0,0,209000.0,0.049084651243297035,921.89514737666,279.4433225154555
0.81,810.0,0,0,0,0,0,209000.0,0.04931496421148575,918.5275022991244,279.448163608839
0.86,860.0,0,0,0,0,0,209000.0,0.04933813658192216,912.9147605032316,279.45623209781155
0.92,920.0,0,0,0,0,0,209000.0,0.04936594342644586,906.2509646511064,279.4170559183717
1.1,1100.0,0,0,0,0,0,209000.0,0.04981472663960035,886.5053268927286,279.26068027977783
1.25,1250.0,0,0,0,0,0,209000.0,0.05054107828970534,870.3743359058436,279.1369221623526
1.4,1400.0,0,0,0,0,0,209000.0,0.05173494920458516,854.5195520694618,278.8861273730636
1.6,1600.0,0,0,0,0,0,209000.0,0.05307161419376826,833.8026198642958,278.1060663250119
1.8,1800.0,0,0,0,0,0,209000.0,0.053745161421683466,813.5348502895868,276.82252825113653
2.0,2000.0,0,0,0,0,0,209000.0,0.05366292409995951,793.6507682975416,275.35331935358244
2.2,2200.0,0,0,0,0,0,209000.0,0.05309070690170432,774.1476275682022,273.9877440089276
2.4,2400.0,0,0,0,0,0,209000.0,0.05245791771254251,755.0398079854608,272.92841423406793
2.6,2600.0,0,0,0,0,0,209000.0,0.05243341465715382,736.3433916716102,272.05137148818807
2.8000000000000003,2800.0,0,0,0,0,0,209000.0,0.05266039338804872,718.0559094687022,271.0919177376187
3.0,3000.0,0,0,0,0,0,209000.0,0.052892014206466734,700.1590355961914,269.97150877355654
3.2,3200.0,0,0,0,0,0,209000.0,0.054920299739075376,682.6306122843413,268.7172985114366
3.6,3600.0,0,0,0,0,0,209000.0,0.05905756151583846,648.5993684421951,266.01244427945016
3.8,3800.0,0,0,0,0,0,209000.0,0.06172152588008769,632.0636621127577,264.6957739920345
4.0,4000.0,0,0,0,0,0,209000.0,0.06438549024433693,615.958151512426,263.62322937962125
4.2,4200.0,0,0,0,0,0,209000.0,0.06696422898699882,600.1908652996897,262.680791400204
4.4,4400.0,0,0,0,0,0,209000.0,0.06805058384497441,584.7310129593105,261.75739342021274
4.7,4700.0,0,0,0,0,0,209000.0,0.06968011613193782,562.210863454607,260.2190802397314
5.0,5000.0,0,0,0,0,0,209000.0,0.07162295540486094,540.417611274813,258.42685397993665
5.3,5300.0,0,0,0,0,0,209000.0,0.07387307931573335,519.315533647573,256.40640664225543
5.6000000000000005,5600.0,0,0,0,0,0,209000.0,0.07627423238891387,498.8730700404589,254.21320585508983
5.9,5900.0,0,0,0,0,0,209000.0,0.07960237270497826,479.0647945905185,251.9092638158456
6.2,6200.0,0,0,0,0,0,209000.0,0.08293051302104266,459.8718796581469,249.57885066712564
6.5,6500.0,0,0,0,0,0,209000.0,0.08665919532383008,441.2816493939061,247.2912092942199
6.8,6800.0,0,0,0,0,0,209000.0,0.09066831033041346,423.28435524981285,245.06714760304826
7.1000000000000005,7100.0,0,0,0,0,0,209000.0,0.09467742533699686,405.8707841658882,242.92047340992644
7.4,7400.0,0,0,0,0,0,209000.0,0.09782277467012124,389.0315887338732,240.84209836604708
7.7,7700.0,0,0,0,0,0,209000.0,0.10076038883911387,372.753109245846,238.71209713569823
8.0,8000.0,0,0,0,0,0,209000.0,0.10369800300810653,357.0151579995107,236.44369835303044
8.4,8400.0,0,0,0,0,0,209000.0,0.11807018089885712,336.79940628750296,233.16630044609872
8.8,8800.0,0,0,0,0,0,209000.0,0.13496534914485558,317.53329034056145,229.62487421729176
9.2,9200.0,0,0,0,0,0,209000.0,0.16516638769390746,299.03888749545183,226.13155880962967
9.6,9600.0,0,0,0,0,0,209000.0,0.23952339302305287,281.3891967953716,222.7643517825896
10.0,10000.0,0,0,0,0,0,209000.0,0.3138803983521983,264.5557559674128,219.5942103077536
10.5,10500.0,0,0,0,0,0,209000.0,0.4042087274114359,244.62355158279541,216.34538156562002
11.0,11000.0,0,0,0,0,0,209000.0,0.4866769901798686,225.95152636658008,214.33935533060497
11.5,11500.0,0,0,0,0,0,209000.0,0.5117631501389674,208.73465795405048,216.5546295371167
12.0,12000.0,0,0,0,0,0,209000.0,0.5525958297431607,193.0906984176448,220.6196376105101
12.5,12500.0,0,0,0,0,0,209000.0,0.606798659361454,178.7820135543734,223.52336325588874
13.0,13000.0,0,0,0,0,0,209000.0,0.6502273728914768,165.70290179518832,224.34989189728162
14.0,14000.0,0,0,0,0,0,209000.0,0.7337000390766157,142.35869788668631,224.9479718417593
15.0,15000.0,0,0,0,0,0,209000.0,0.8528172855378352,122.35570272594671,225.30738164546227
18.0,18000.0,0,0,0,0,0,209000.0,1.8049962194008213,78.73253573881337,226.53370219438256
20.0,20000.0,0,0,0,0,0,209000.0,2.480692968710462,58.309567621281346,227.2046989884893
25.0,25000.0,0,0,0,0,0,209000.0,3.374658174986613,27.36532054976605,227.89532041334004
30.0,30000.0,0,0,0,0,0,209000.0,4.444177092373189,13.12293517367882,235.85232661002883
